id,age,gender,______,grades,psychometrics,control_robot,q1,q2,q3,q4,q5,q6
54,19,___,____ _____,92,680,0,2,2,3,___ ___ ____ _____ _______ __ __________.,__ ______ ____ _____ ____ ____ __ ______.,__.
55,26,____,______ ____ (____ _____),87,624,1,2,5,3,_____ ______ _____.,_____ ___ ___ _____ __ ________ _______.,______ ______ ____ __ _____ _____ ___ __ __ ____ ___ ______.
56,19,___,____ _____,,727,0,4,1,2,_____ _____ _____ ________ ___ ___ ___.,______ ____ _____ ___ ___ _____.,"__, ___ ___ _____ _____ _____ __ _______ ___ _______ ___."
57,26,____,________,94,693,,,,,,,
58,25,____,________,86,676,1,2,3,3,_____ __ _____ ___ _____ _______ _____ _____ ______.,_____ _______ __ ____ _______ ____.,"___ ______ ____ _____ ____ ____, __ ____ ______."
59,23,____,______ ______,95,740,1,4,4,4,_____ _____ __ _____ _______ _____.,_____ __ ________ ___ _______ _______.,"__, ______ _____ ___ ______ __ ___ ______ _____ ____."
60,22,____,_____ ______ ______,80,615,0,3,4,4,_____ __________ _____ ____ ____ _____ _____.,__ _____.,__ ____ __.
61,24,____,_____ ______ ______,80,710,,2,3,1,_____ ___ _____ _____ _____ _____ __ ______.,_____ __ ____ ______.,______ ______ ___ _____ ____ __ _____.
62,19,___,_____ ____ _______,82,702,1,3,3,3,_____ _______ __ _____ ______ _____ _____ ______.,"_____ ___ ___ ____ ____ ""____"" __ ______.",______ ___ _____ _____ _______ __.
63,28,___,________,90~,700~,1,4,3,3,_____ _____ __ ______ _____.,___ ______ _____ _____ _____.,__: ___ ____ ___ ____ ___ __ _____ __ ___ ____ _______ _______ (______ ________ _______).
64,26,____,____ _____,86,660,0,2,2,3,_____ ______ _______ _____.,____ ______ _____ _____.,______ _____ ___-______.
65,24,____,___ ________,94.5,620,1,3,4,3,______ __???? _____ ___ _____ _______ ____ ____ __ _______.,____ __ ______.....,____ __ ____ ______.
66,20,___,______,80,,0,2,3,3,_____ ____ ___ ____ ____ __________ ______ ______.,_____ _____ _____ __ _____ _________.,"__, _____ ______ _____ ______, ___ __ __ _______ __ ____ ____ ?????."
67,20,____,_____ _______ (____ _____ _______),80,700,0,2,4,3,_____ _____ ______ __ _____ __ _____.,_____ ____ ______ _____ ___ _____ _____ __ _____.,_____ _____ _______ ____ __ ____ ________ __ _____ ______ ____ ___ ____ _____.
68,24,___,_____ ____ ___________,72,690,1,3,4,4,"_____ _______ ___________ _____, ____ _____ _______.","______ ___ ______, ____ ______.",______ ___ _____ ________ ______.
69,19,___,_____,78,670,1,3,4,3,_____ __________ __ _______.,____ _____ _________.,__ ______ ____ __ ________ ______.
70,18,___,_____ ____ _______,91.5,721,1,3,1,3,_____ __ _______ __ ___ _____ ______ _____.,_____ ____ _____ __.,"__, _____ ____ _____ __ ________ _____ _____ _____."
71,24,____,_____ ____,82,657,1,3,1,3,_____ _____ _____/____ _________ ____.,_____ ________/____ ____.,____ __ __ _____ __ ___ __.
72,19,___,______,89.4,657,1,4,4,3,_____ _____ _______ ___ ___ ___ _______/_______ _______ _____.,____ _____ _______ ____ ______ ______ _______.,__ ___ _____ _____ ____ __.
73,21,____,_____ ______,95,741,1,3,2,3,_____ ___ _____ ____ ____ ___.,____ ____ ____ ___ __.,__.
