id,BFI_1,BFI_2,BFI_3,BFI_4,BFI_5,BFI_6,BFI_7,BFI_8,BFI_9,BFI_10,BFI_11,BFI_12,BFI_13,BFI_14,BFI_15,BFI_16,BFI_17,BFI_18,BFI_19,BFI_20,BFI_21,BFI_22,BFI_23,BFI_24,BFI_25,BFI_26,BFI_27,BFI_28,BFI_29,BFI_30,BFI_31,BFI_32,BFI_33,BFI_34,BFI_35,BFI_36,BFI_37,BFI_38,BFI_39,BFI_40,BFI_41,BFI_42,BFI_43,BFI_44
26,2,3,5,2,5,5,3,5,5,5,3,1,5,2,3,3,3,1,3,5,4,1,2,4,4,3,4,4,1,4,3,3,4,4,1,3,4,5,2,5,1,3,2,4
51,4,2,4,1,4,1,4,2,3,5,5,2,4,3,4,4,5,5,2,4,2,4,3,3,3,3,2,4,1,2,2,5,3,3,2,5,2,2,2,3,4,4,4,1
52,3,3,4,1,4,3,4,2,3,5,4,1,5,3,4,3,5,3,3,4,3,4,2,4,4,3,2,4,1,2,3,4,4,3,1,4,2,4,3,4,2,3,4,3
53,4,2,5,1,4,4,3,3,3,5,4,2,5,2,4,3,4,1,2,4,4,4,1,4,4,4,2,4,1,3,2,4,4,3,2,4,1,4,1,4,3,4,1,2
54,3,5,5,1,4,4,5,1,4,5,4,1,5,1,4,4,5,1,3,4,3,4,1,5,3,4,1,5,2,2,1,5,5,4,3,4,2,5,3,1,5,4,2,1
55,4,3,4,2,4,2,5,2,4,5,5,1,5,4,4,4,4,2,4,4,3,4,3,3,3,3,2,3,2,4,3,4,4,3,2,4,2,4,2,3,4,5,4,3
56,4,1,3,4,4,2,5,5,2,4,4,3,3,2,4,3,3,5,4,4,2,4,5,1,4,3,4,3,4,4,2,2,2,4,2,4,4,2,2,4,4,4,4,2
57,3,4,5,3,4,2,4,4,1,4,2,2,5,5,4,3,4,1,4,4,2,4,2,3,4,5,2,5,4,5,2,3,5,3,3,4,3,5,3,3,1,2,2,4
58,4,5,5,2,5,2,3,2,2,4,5,3,5,4,4,5,4,3,3,5,2,5,1,3,5,3,4,5,4,5,3,4,4,2,1,3,1,3,1,5,4,3,3,4
59,5,3,5,1,4,1,5,2,3,5,5,2,5,4,5,4,5,1,4,3,1,5,1,3,4,4,4,5,2,3,1,3,5,4,1,5,2,5,2,2,4,3,3,1
60,5,3,4,2,3,2,4,2,3,5,4,1,4,3,4,4,4,,4,3,2,5,3,3,2,3,4,5,3,4,2,4,4,3,3,5,2,5,3,3,4,4,4,2
61,5,4,3,4,3,4,4,5,1,2,4,1,5,4,2,4,3,4,3,2,2,4,5,2,3,2,3,3,4,2,4,3,2,1,3,4,2,2,3,2,3,3,5,1
62,3,3,4,1,4,2,5,2,4,4,3,1,5,3,4,4,4,4,3,4,3,4,3,4,4,4,2,4,1,1,3,4,4,4,3,4,2,4,2,3,5,4,4,3
63,4,2,5,1,4,3,5,1,5,4,3,1,5,1,4,2,5,1,1,4,3,4,1,5,4,4,1,5,1,4,1,5,5,4,2,4,1,5,2,4,2,3,1,4
64,5,4,4,2,4,2,4,2,4,4,4,3,5,4,4,3,3,1,4,5,2,4,4,2,3,3,2,3,3,4,4,5,5,4,4,4,2,4,2,3,4,4,4,2
65,4,3,4,2,4,2,5,2,3,4,4,2,5,3,4,4,3,2,3,4,3,4,2,3,3,4,4,5,3,3,2,4,5,3,2,5,2,5,3,4,3,4,2,3
66,3,3,4,1,4,3,4,4,3,5,2,2,4,4,4,3,5,1,4,4,3,4,2,3,3,4,3,5,3,1,3,5,4,4,3,3,2,5,3,4,1,4,4,2
67,2,2,4,1,4,3,4,2,3,4,4,1,4,3,4,3,4,2,3,4,4,3,2,4,4,3,1,4,3,4,2,4,4,3,3,,1,4,2,4,2,4,3,3
68,4,4,5,1,5,4,5,3,2,5,2,1,5,4,5,3,3,5,3,5,2,1,3,5,5,5,44,4,2,4,2,5,4,3,2,5,1,3,1,4,1,5,2,4
69,4,3,4,2,4,2,4,2,3,4,4,4,5,2,4,4,5,3,2,4,2,5,2,4,5,4,3,4,2,4,3,4,4,3,4,5,3,3,2,4,3,4,2,3
70,5,3,5,1,4,2,5,2,5,5,5,1,5,3,5,5,5,1,1,5,1,4,1,5,5,5,1,5,1,5,1,4,4,4,3,5,1,5,1,5,1,4,2,5
71,3,3,5,2,4,3,5,2,4,4,3,1,5,3,4,3,4,3,2,4,3,4,2,3,3,4,3,4,2,3,3,5,4,4,2,4,1,4,2,4,3,4,4,2
72,4,4,5,1,5,2,5,2,5,5,5,1,5,2,5,5,7,4,2,5,1,5,4,4,5,4,2,5,1,4,2,4,5,5,1,5,3,5,2,5,2,4,5,4
73,3,4,4,2,3,2,4,3,2,3,4,1,5,4,4,3,4,2,4,3,3,4,2,4,3,3,2,4,2,4,3,4,4,2,4,4,2,4,2,3,2,4,2,3
